Seconds,Closed,Pending,Connected,Service Available
0,0,1,0,1000
1,0,86,35,1000
2,0,20,207,1000
3,0,5,343,1000
4,0,6,465,1000
5,0,51,546,1000
6,0,5,701,1000
7,0,5,838,1000
8,0,5,972,1000
9,0,0,1000,1000
10,0,0,1000,1000
11,0,0,1000,1000
12,0,0,1000,1000
13,0,0,1000,1000
14,0,0,1000,1000
15,0,0,1000,1000
16,0,0,1000,1000
17,0,0,1000,1000
18,0,0,1000,1000
19,0,0,1000,1000
20,0,0,1000,1000
21,0,0,1000,1000
22,0,0,1000,1000
23,0,0,1000,1000
24,0,0,1000,1000
25,0,0,1000,1000
26,0,0,1000,1000
27,0,0,1000,1000
28,0,0,1000,1000
29,0,0,1000,1000
30,0,0,1000,1000
31,0,0,1000,1000
32,0,0,1000,1000
33,0,0,1000,1000
34,0,0,1000,1000
35,0,0,1000,1000
36,0,0,1000,1000
37,0,0,1000,1000
38,0,0,1000,1000
39,0,0,1000,1000
40,0,0,1000,1000
41,0,0,1000,1000
42,0,0,1000,1000
43,0,0,1000,1000
44,0,0,1000,1000
45,0,0,1000,1000
46,0,0,1000,1000
47,0,0,1000,1000
48,0,0,1000,1000
49,0,0,1000,1000
50,0,0,1000,1000
51,0,0,1000,1000
52,0,0,1000,1000
53,0,0,1000,1000
54,0,0,1000,1000
55,0,0,1000,1000
56,0,0,1000,1000
57,0,0,1000,1000
