127.0.0.1 - - [03/Mar/2018:00:01:46 +0100] "POST /SNIUser/CodeServlet HTTP/1.1" 200 788
127.0.0.1 - - [03/Mar/2018:00:04:28 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:04:28 +0100] "GET /tomcat.css HTTP/1.1" 200 5581
127.0.0.1 - - [03/Mar/2018:00:04:28 +0100] "GET /tomcat.png HTTP/1.1" 200 5103
127.0.0.1 - - [03/Mar/2018:00:04:28 +0100] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [03/Mar/2018:00:04:28 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
127.0.0.1 - - [03/Mar/2018:00:04:29 +0100] "GET /bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [03/Mar/2018:00:04:29 +0100] "GET /bg-button.png HTTP/1.1" 200 713
127.0.0.1 - - [03/Mar/2018:00:04:29 +0100] "GET /bg-middle.png HTTP/1.1" 200 1918
127.0.0.1 - - [03/Mar/2018:00:04:29 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
127.0.0.1 - - [03/Mar/2018:00:04:54 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:04:57 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:01 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:03 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:06 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:09 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:12 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:12 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:12 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:12 +0100] "GET /bg-nav.png HTTP/1.1" 200 1401
127.0.0.1 - - [03/Mar/2018:00:05:12 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
127.0.0.1 - - [03/Mar/2018:00:05:12 +0100] "GET /bg-upper.png HTTP/1.1" 200 3103
127.0.0.1 - - [03/Mar/2018:00:05:12 +0100] "GET /bg-button.png HTTP/1.1" 200 713
127.0.0.1 - - [03/Mar/2018:00:05:12 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:12 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:15 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:18 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:21 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:24 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:27 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:49 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:52 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:55 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:57 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:57 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:57 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:57 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:57 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:57 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:57 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:57 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:58 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:58 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:05:58 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:58 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:58 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:58 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:58 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:58 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:05:58 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:01 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:04 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:07 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:10 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:13 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:16 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:16 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:16 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:16 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:16 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:16 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:16 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:16 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:16 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:18 +0100] "GET / HTTP/1.1" 404 1073
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:19 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:20 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:21 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:21 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:21 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:21 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:21 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:21 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:21 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:21 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:21 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:22 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:22 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:22 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:22 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:22 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:22 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:22 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:22 +0100] "GET / HTTP/1.1" 404 1073
127.0.0.1 - - [03/Mar/2018:00:06:22 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:23 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:24 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:25 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:25 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:25 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:25 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:25 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:25 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:25 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:25 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:29 +0100] "GET / HTTP/1.1" 404 1073
127.0.0.1 - - [03/Mar/2018:00:06:30 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:30 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:30 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:30 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:30 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:30 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:30 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:30 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:33 +0100] "GET / HTTP/1.1" 404 1073
127.0.0.1 - - [03/Mar/2018:00:06:34 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:34 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:34 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:34 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:34 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:34 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
