0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:17:47 +0100] "GET /2ucas/login HTTP/1.1" 404 13
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:18:02 +0100] "GET /cas/login HTTP/1.1" 200 4927
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:18:03 +0100] "GET /cas/css/cas.css;jsessionid=42E116679C961C4AB77A64967C5A716E HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:18:03 +0100] "GET /cas/js/cas.js;jsessionid=42E116679C961C4AB77A64967C5A716E HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:18:03 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:18:04 +0100] "GET /cas/favicon.ico;jsessionid=42E116679C961C4AB77A64967C5A716E HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:20:20 +0100] "GET /cas/login HTTP/1.1" 200 4927
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:20:20 +0100] "GET /cas/css/cas.css;jsessionid=C7A4517E231AE3CCEAD245DC604ECDBA HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:20:20 +0100] "GET /cas/js/cas.js;jsessionid=C7A4517E231AE3CCEAD245DC604ECDBA HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:20:20 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:20:21 +0100] "GET /cas/favicon.ico;jsessionid=C7A4517E231AE3CCEAD245DC604ECDBA HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:25:10 +0100] "POST /cas/login;jsessionid=C7A4517E231AE3CCEAD245DC604ECDBA HTTP/1.1" 200 4814
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:25:10 +0100] "GET /cas/css/cas.css HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:25:10 +0100] "GET /cas/js/cas.js HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:25:10 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:25:10 +0100] "GET /cas/images/error.gif HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:25:11 +0100] "GET /cas/favicon.ico HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:26:00 +0100] "POST /cas/login HTTP/1.1" 200 4813
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:26:00 +0100] "GET /cas/css/cas.css HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:26:00 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:26:01 +0100] "GET /cas/images/error.gif HTTP/1.1" 200 1084
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:26:01 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:26:01 +0100] "GET /cas/favicon.ico HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:34:31 +0100] "POST /cas/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:34:34 +0100] "GET /cas/login HTTP/1.1" 200 4751
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:34:34 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:34:34 +0100] "GET /cas/css/cas.css HTTP/1.1" 200 7423
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:34:34 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:34:37 +0100] "GET /cas/favicon.ico HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:35:04 +0100] "POST /cas/login HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:35:34 +0100] "GET /cas/login HTTP/1.1" 200 1735
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:35:34 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:35:34 +0100] "GET /cas/js/cas.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:35:34 +0100] "GET /cas/images/ja-sig-logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:35:34 +0100] "GET /cas/images/confirm.gif HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:35:35 +0100] "GET /cas/favicon.ico HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:35:43 +0100] "GET /cas/logout HTTP/1.1" 200 1693
0:0:0:0:0:0:0:1 - - [12/Feb/2020:22:35:43 +0100] "GET /cas/css/cas.css HTTP/1.1" 304 -
